Title,Slug,Maps URL,Description,Tags,Priority,Route Hint,Featured,Needs Review,Published,Source,Lat,Lng,Phone,Hours,Address
Punjabi dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+dhaba/data=!4m2!3m1!1s0x86d82d939d1c90d3:0x555b603734b2637f,Truck stop with seating ,"Truck Parking, I-10, Gas, Bathrooms, Liquor store, Seating",Medium,"Right off I-10, Arizona",No,Yes,Yes,Google Maps,32.32949,-109.395291,(520) 847-2511,,"1275 E Business Loop, San Simon, AZ 85632, USA"
Rosies Dhaba Indian Food Truck,rosies-dhaba-indian-food-truck,https://www.google.com/maps/place/Rosies+Dhaba+Indian+Food+Truck/data=!4m2!3m1!1s0x86e745d1a2ae085b:0xc932c07cbcecfa82,Highly rated food truck,"Gas, ",Medium,Near I-10 · TX,No,Yes,Yes,Google Maps,31.803568,-106.261752,(915) 667-3899,Monday: Closed | Tuesday: Closed | Wednesday: 5:00 – 6:30 PM | Thursday: 5:00 – 8:30 PM | Friday: 5:00 – 8:30 PM | Saturday: Closed | Sunday: Closed,"11705 Montwood Dr, El Paso, TX 79936, USA"
Vega Travel Center,vega-travel-center,https://www.google.com/maps/place/Vega+Travel+Center/data=!4m2!3m1!1s0x8703f52f68e15cf7:0x44e5081e745d2a40,"Truck stop Dhaba with seating, Samosas, Jalebi, Indian groceries","Truck Parking, I-40, Gas, Bathrooms",Medium,"Right off I-40, Jalebis",Yes,Yes,Yes,Google Maps,35.236012,-102.427473,(806) 267-2325,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","3650 I-40 Service Rd, Vega, TX 79092, USA"
333 FRESH Food Punjabi Rasoi,333-fresh-food-punjabi-rasoi,https://www.google.com/maps/place/333+FRESH+Food+Punjabi+Rasoi/data=!4m2!3m1!1s0x871b57002a2ed55d:0xcfc3799e0470e2e5,Truck Stop take out Dhaba ,"Truck Parking, I-40, Take out only",Medium,"Right off I-40, New Mexico",No,Yes,Yes,Google Maps,35.180709,-103.682733,(575) 515-0333,"Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM","2080 S Mountain Rd, Tucumcari, NM 88401, USA"
Rose Punjabi Dhaba,rose-punjabi-dhaba,https://www.google.com/maps/place/Rose+Punjabi+Dhaba/data=!4m2!3m1!1s0x8704793869b8be81:0x3298cabc33480915,Dhaba with seating ,"Truck Parking, I-40, bathrooms,",Medium,"Right off I-40, Texas",No,Yes,Yes,Google Maps,35.307202,-102.700109,(806) 386-9992,"Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM","300 U.S. Rte 66 lot 2, Adrian, TX 79001, USA"
Biji's Best,bijis-best,https://www.google.com/maps/place/Biji's+Best/data=!4m2!3m1!1s0x8796970deb75f27f:0x768aabb6e853f57b,Take out only Dhabi with limited menu at a gas station with specials ,"Gas, Bathrooms",Medium,"Indian takeout, Nebraska",No,Yes,Yes,Google Maps,40.720514,-96.603866,(402) 476-0367,"Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 1:30 PM, 5:00 – 7:30 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: Closed","5640 Hidcote Dr, Lincoln, NE 68516, USA"
Singh's Punjabi Dhaba,singhs-punjabi-dhaba,https://www.google.com/maps/place/Singh's+Punjabi+Dhaba/data=!4m2!3m1!1s0x87e267f2a81a2d75:0x519362119f1b96a6,"“The Tandoor Chicken is juicy, well-cooked, and packed with classic smoky flavor.”","Truck Parking, Iowa",Medium,Near I-80 · IA,No,Yes,Yes,Google Maps,41.779617,-90.29021,(563) 244-3300,"Monday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Tuesday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Wednesday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Thursday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Friday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Saturday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM | Sunday: Closed","2300 Lincoln Hwy, Clinton, IA 52732, USA"
PUNJAB COVET,punjab-covet,https://www.google.com/maps/place/PUNJAB+COVET/data=!4m2!3m1!1s0x87dc8d1ecfd1e103:0x97f5ed2f3b50d5bf,Dhaba with outdoor seating ,Seating,Medium,Near I-70 · MO,No,Yes,Yes,Google Maps,38.947222,-91.953429,(314) 707-4307,Monday: 10:00 AM – 9:30 PM | Tuesday: 10:00 AM – 9:30 PM | Wednesday: 10:00 AM – 9:30 PM | Thursday: 10:00 AM – 9:30 PM | Friday: 10:00 AM – 9:30 PM | Saturday: 10:00 AM – 9:30 PM | Sunday: 10:00 AM – 8:30 PM,"Parking Lot, 3391 County Rd 211, Kingdom City, MO 65262, USA"
Murthal Dhaba Indian Restaurant,murthal-dhaba-indian-restaurant,https://www.google.com/maps/place/Murthal+Dhaba+Indian+Restaurant/data=!4m2!3m1!1s0x89b34f657c2f9d69:0xd284841717b0cf8d,"Small Cart serving authentic Punjabi food, takeout ",Takeout ,Medium,Takeout ,No,Yes,Yes,Google Maps,37.933619,-79.21106,(540) 280-6419,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","722 Oakland Cir, Raphine, VA 24472, USA"
Indian Curry House (Punjabi Dhaba),indian-curry-house-punjabi-dhaba,https://www.google.com/maps/place/Indian+Curry+House+(Punjabi+Dhaba)/data=!4m2!3m1!1s0x8840b398a1311e47:0x63235725d91b2a7a,"Dhaba at a gas station, ","Truck Parking, Gas, Bathrooms, Seating",Medium,"Seating, I-71, Ohio",No,Yes,Yes,Google Maps,39.580997,-83.641192,(209) 884-2521,"Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM","11546 Allen Rd, Jeffersonville, OH 43128, USA"
Shan E Panjab dhaba,shan-e-panjab-dhaba,https://www.google.com/maps/place/Shan+E+Panjab+dhaba/data=!4m2!3m1!1s0x884061004c9caed7:0x1e1421d69b947bf,"Small Cart serving authentic Punjabi food, takeout ","Takeout, Parking",Medium,Near I-75 · OH,No,Yes,Yes,Google Maps,39.555931,-84.314636,(513) 476-2173,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: Closed,"1111 William C Good Blvd, Franklin, OH 45005, USA"
Pahalwan Dhaba,pahalwan-dhaba,https://www.google.com/maps/place/Pahalwan+Dhaba/data=!4m2!3m1!1s0x8771ad0b492613a9:0xd7e6dedc31e926ce,"Great parathas, butter chicken, biryani","Takeout, Parking",Medium,"Takeout, I-80, Nebraska",Yes,Yes,Yes,Google Maps,41.149511,-102.966061,(308) 524-9596,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","574 Chase Blvd, Sidney, NE 69162, USA"
Punjabi dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+dhaba/data=!4m2!3m1!1s0x870129001cb6a059:0x8f0fa2e3093348ae,Truck stop dhaba with limited seating,"Truck Parking, Gas, Bathrooms, Seating",Medium,"Seating, I-40, Texas",No,Yes,Yes,Google Maps,35.245825,-101.389232,(806) 256-5209,"Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM","16421 I-40, Shamrock, TX 79079, USA"
Desi Dhaba,desi-dhaba,https://www.google.com/maps/place/Desi+Dhaba/data=!4m2!3m1!1s0x863b659b752fd63d:0x2397f245b2e0879,Dhaba with Indian groceries ,"Truck Parking, Gas, Bathrooms, Seating, Liquor store",Medium,"Seating, I-10, Florida",No,Yes,Yes,Google Maps,30.297469,-92.891417,(337) 442-9039,"Monday: 7:00 AM – 9:30 PM | Tuesday: 7:00 AM – 9:30 PM | Wednesday: 7:00 AM – 9:30 PM | Thursday: 7:00 AM – 9:30 PM | Friday: 7:00 AM – 9:30 PM | Saturday: 7:00 AM – 9:30 PM | Sunday: 8:00 AM – 8:30 PM","18889 S Frontage Rd, Welsh, LA 70591, USA"
GOLDEN INDIAN RESTAURANT & DESI DHABA,golden-indian-restaurant-desi-dhaba,https://www.google.com/maps/place/GOLDEN+INDIAN+RESTAURANT+%26+DESI+DHABA/data=!4m2!3m1!1s0x86310fd0fd72981d:0x1a4edf577f8e7060,Dhaba with seating ,"Truck Parking, Gas, Bathrooms, Seating, Store",Medium,"Seating, I-20, Texas",No,Yes,Yes,Google Maps,32.532093,-93.251328,(559) 214-6891,"Monday: 10:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM","I-20 Exit- 52, 2193 LA-532, Minden, LA 71055, USA"
Desi Dhaba,desi-dhaba,https://www.google.com/maps/place/Desi+Dhaba/data=!4m2!3m1!1s0x8636f7b6b2ebef6f:0x85ba5873b56909c9,"“We got the lamb shank, butter chicken, garlic naan, samosa, and a mango lassi.”","Truck Parking, Texas",Medium,I-20 · TX,No,Yes,Yes,Google Maps,32.500341,-94.372027,(903) 702-7918,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,"304 I-20, Marshall, TX 75670, USA"
Taste of Punjab,taste-of-punjab,https://www.google.com/maps/place/Taste+of+Punjab/data=!4m2!3m1!1s0x87d49935a5fe2c39:0xe7b5bc0a5d00a193,"“The food was amazing, We ordered mixed paratha, paneer paratha, chicken curry, and lassi.”","Truck Parking, Arkansas",Medium,Near I-40 · AR,No,Yes,Yes,Google Maps,34.921299,-91.132602,(501) 697-9810,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,"111 Lawson Rd, Wheatley, AR 72392, USA"
Chacha’s Dhaba Indian Cuisine,chachas-dhaba-indian-cuisine,https://www.google.com/maps/place/Chacha%E2%80%99s+Dhaba+Indian+Cuisine/data=!4m2!3m1!1s0x8627a99ce5d64407:0xfdd1b56efd0a2947,“The garlic naan and chai were better than I expected from an Indian place in the food court of a truck stop.”,"Truck Parking, Seating, Louisiana",Medium,Near I-55 · LA,No,Yes,Yes,Google Maps,30.93728,-90.514849,(318) 597-1213,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,"802 Ave G, Kentwood, LA 70444, USA"
Chacha's Dhaba Indian Cuisine,chachas-dhaba-indian-cuisine,https://www.google.com/maps/place/Chacha's+Dhaba+Indian+Cuisine/data=!4m2!3m1!1s0x889de9789c6e89dd:0xb5c7338d3b3f75f7,,"Truck Parking, Seating, Louisiana",Medium,Near I-10 · LA,No,Yes,Yes,Google Maps,30.427824,-89.738243,(985) 444-1313,Monday: 10:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,"65583 Pump Slough Rd, Pearl River, LA 70452, USA"
Indian Cuisine & Curry Pizza (I-10 Dhaba MS),indian-cuisine-curry-pizza-i-10-dhaba-ms,https://www.google.com/maps/place/Indian+Cuisine+%26+Curry+Pizza+(I-10+Dhaba+MS)/data=!4m2!3m1!1s0x889c17e0236e9f55:0x56c93d63ac5f8009,"“Their indian staples that we tried were superb and some of the best aloo gobhi, saag paneer and lamb curry I've ever had from an Indian place.”","Truck Parking, Seating",Medium,US-49 · MS,No,Yes,Yes,Google Maps,30.361749,-89.093839,(228) 206-1205,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,"9455 US 49, Gulfport, MS 39503, USA"
Maharaja Indian Cuisine,maharaja-indian-cuisine,https://www.google.com/maps/place/Maharaja+Indian+Cuisine/data=!4m2!3m1!1s0x88d9b3d71e415db7:0xeb98ff505df439e3,"“The menu features classic Indian dishes like butter chicken, chicken tikka masala, biryani, and paneer curry.”","Truck Parking, Seating, Florida",Medium,Near I-95 · FL,No,Yes,Yes,Google Maps,25.841205,-80.183566,(786) 716-3935,Monday: 9:00 AM – 2:00 AM | Tuesday: 9:00 AM – 2:00 AM | Wednesday: 9:00 AM – 2:00 AM | Thursday: 9:00 AM – 2:00 AM | Friday: 9:00 AM – 4:00 AM | Saturday: 5:00 PM – 4:00 AM | Sunday: 9:00 AM – 2:00 AM,"6010 NE 2nd Ave, Miami, FL 33137, USA"
Ambarsari Zaika Indian Cuisine,ambarsari-zaika-indian-cuisine,https://www.google.com/maps/place/Ambarsari+Zaika+Indian+Cuisine/data=!4m2!3m1!1s0x88c2b5cce6bfdf4b:0x35eb586ce997cf77,,"Truck Parking, Seating, Florida",Medium,Near I-75 · FL,No,Yes,Yes,Google Maps,28.127455,-82.287776,(656) 239-2813,Monday: Closed | Tuesday: 5:30 – 8:00 PM | Wednesday: 5:30 – 8:00 PM | Thursday: 5:30 – 8:00 PM | Friday: 5:00 – 9:00 PM | Saturday: 5:00 – 9:00 PM | Sunday: 5:00 – 9:00 PM,"10865 Cross Creek Blvd, Tampa, FL 33647, USA"
DOSTHI CHOWRASTA,dosthi-chowrasta,https://www.google.com/maps/place/DOSTHI+CHOWRASTA/data=!4m2!3m1!1s0x88c2c711b76fad93:0x963c6f25c58b8d5d,,"Truck Parking, Florida",Medium,Near I-75 · FL,No,Yes,Yes,Google Maps,28.060051,-82.444351,(813) 679-4358,Monday: 5:00 PM – 2:00 AM | Tuesday: 5:00 PM – 2:00 AM | Wednesday: 5:00 PM – 2:00 AM | Thursday: 5:00 PM – 2:00 AM | Friday: 5:00 PM – 2:00 AM | Saturday: 8:30 AM – 2:00 AM | Sunday: 8:30 AM – 2:00 AM,"14546 Bruce B Downs Blvd, Tampa, FL 33613, USA"
Naan House-Cleveland,naan-house-cleveland,https://www.google.com/maps/place/Naan+House-Cleveland/data=!4m2!3m1!1s0x885e2b98c12d5069:0x1a57f5507c49564a,,"Truck Parking, Ohio",Medium,Near I-75 · TN,No,Yes,Yes,Google Maps,35.157244,-84.876135,(423) 458-4016,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 12:00 – 9:00 PM,"2151 Keith St NW, Cleveland, TN 37311, USA"
CHENNAIWAALA INDIAN FOOD TRUCK,chennaiwaala-indian-food-truck,https://www.google.com/maps/place/CHENNAIWAALA+INDIAN+FOOD+TRUCK/data=!4m2!3m1!1s0x88541f0067c8a119:0xe984bc1aa17aead5,"“Ordered Lamb Rogan Josh and garlic naan, asked for it to be very mild - came out delicious and not spicy as requested.”","Food Truck, North Carolina",Medium,Near I-85 · NC,No,Yes,Yes,Google Maps,35.254302,-80.764526,(980) 497-7461,Monday: 5:00 – 9:30 PM | Tuesday: 5:00 – 9:30 PM | Wednesday: 5:00 – 9:30 PM | Thursday: 5:00 – 9:30 PM | Friday: 5:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 8:30 PM,"20833 Catawba Ave, Cornelius, NC 28031, USA"
Punjabi Dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+Dhaba/data=!4m2!3m1!1s0x886b4502dafe988f:0x5b909e36e700a6c0,,"Truck Parking, Indiana",Medium,Near I-70 · IN,No,Yes,Yes,Google Maps,39.711061,-86.062374,(317) 292-9362,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,"6005 E Thompson Rd, Indianapolis, IN 46237, USA"
Punjabi Dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+Dhaba/data=!4m2!3m1!1s0x86386300798b6bd3:0x5221c9b859937a2b,"“I had the palak paneer and hubby had the butter chicken, we also ordered garlic and plain naan among with Limca (we ordered extra Limca to take home).”","Truck Parking, Texas",Medium,US-59 · TX,No,Yes,Yes,Google Maps,30.853336,-94.852371,(936) 622-1006,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: Closed,"11960 US-59, Livingston, TX 77351, USA"
323 DHABA EXPRESS PUNJABI VEG KITCHEN,323-dhaba-express-punjabi-veg-kitchen,https://www.google.com/maps/place/323+DHABA+EXPRESS+PUNJABI+VEG+KITCHEN/data=!4m2!3m1!1s0x89b63949f285a31d:0x8e01b6adb573f816,"“We ordered- Amritsari Kulcha, Aloo Paratha Paneer Tikka Masala, Bullet Naan, Cheese Chilli Naan, Lassi and everything tasted really good.”","Truck Parking, Virginia",Medium,Near I-95 · VA,No,Yes,Yes,Google Maps,39.036902,-77.463782,(571) 325-2523,Monday: 11:30 AM – 9:30 PM | Tuesday: 11:30 AM – 9:30 PM | Wednesday: 11:30 AM – 9:30 PM | Thursday: 11:30 AM – 9:30 PM | Friday: 11:30 AM – 9:30 PM | Saturday: 11:30 AM – 9:30 PM | Sunday: 11:30 AM – 9:30 PM,"20800 Pidgeon Hill Dr suite 140, Sterling, VA 20165, USA"
Punjabi Dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+Dhaba/data=!4m2!3m1!1s0x89c3b5001fe9ff9d:0xe669945dd6d46e3c,“We again went the next day for dinner and ordered saag with makki di roti and Amritsari kulcha.”,"Truck Parking, New Jersey",Medium,Near I-95 · NJ,No,Yes,Yes,Google Maps,40.556846,-74.263507,(732) 352-0628,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,"1293 Roosevelt Ave, Carteret, NJ 07008, USA"
